image_path,label
output_dataset/train/000000.png,violin
output_dataset/train/000001.png,moon
output_dataset/train/000002.png,violin
output_dataset/train/000003.png,book
output_dataset/train/000004.png,tree
output_dataset/train/000005.png,flower
output_dataset/train/000006.png,elephant
output_dataset/train/000007.png,fish
output_dataset/train/000008.png,star
output_dataset/train/000009.png,pencil
output_dataset/train/000010.png,sun
output_dataset/train/000011.png,star
output_dataset/train/000012.png,apple
output_dataset/train/000013.png,flower
output_dataset/train/000014.png,boat
output_dataset/train/000015.png,umbrella
output_dataset/train/000016.png,pencil
output_dataset/train/000017.png,tree
output_dataset/train/000018.png,sun
output_dataset/train/000019.png,lion
output_dataset/train/000020.png,moon
output_dataset/train/000021.png,banana
output_dataset/train/000022.png,dog
output_dataset/train/000023.png,kite
output_dataset/train/000024.png,apple
output_dataset/train/000025.png,boat
output_dataset/train/000026.png,elephant
output_dataset/train/000027.png,flower
output_dataset/train/000028.png,fish
output_dataset/train/000029.png,cat
output_dataset/train/000030.png,apple
output_dataset/train/000031.png,kite
output_dataset/train/000032.png,kite
output_dataset/train/000033.png,dog
output_dataset/train/000034.png,pencil
output_dataset/train/000035.png,moon
output_dataset/train/000036.png,boat
output_dataset/train/000037.png,book
output_dataset/train/000038.png,boat
output_dataset/train/000039.png,fish
output_dataset/train/000040.png,umbrella
output_dataset/train/000041.png,apple
output_dataset/train/000042.png,lion
output_dataset/train/000043.png,house
output_dataset/train/000044.png,moon
output_dataset/train/000045.png,lion
output_dataset/train/000046.png,pencil
output_dataset/train/000047.png,elephant
output_dataset/train/000048.png,umbrella
output_dataset/train/000049.png,sun
output_dataset/train/000050.png,fish
output_dataset/train/000051.png,cake
output_dataset/train/000052.png,star
output_dataset/train/000053.png,cake
output_dataset/train/000054.png,cat
output_dataset/train/000055.png,boat
output_dataset/train/000056.png,moon
output_dataset/train/000057.png,banana
output_dataset/train/000058.png,umbrella
output_dataset/train/000059.png,house
output_dataset/train/000060.png,dog
output_dataset/train/000061.png,moon
output_dataset/train/000062.png,violin
output_dataset/train/000063.png,moon
output_dataset/train/000064.png,tree
output_dataset/train/000065.png,kite
output_dataset/train/000066.png,banana
output_dataset/train/000067.png,sun
output_dataset/train/000068.png,flower
output_dataset/train/000069.png,violin
output_dataset/train/000070.png,apple
output_dataset/train/000071.png,umbrella
output_dataset/train/000072.png,pencil
output_dataset/train/000073.png,star
output_dataset/train/000074.png,violin
output_dataset/train/000075.png,house
output_dataset/train/000076.png,star
output_dataset/train/000077.png,pencil
output_dataset/train/000078.png,boat
output_dataset/train/000079.png,dog
output_dataset/train/000080.png,umbrella
output_dataset/train/000081.png,dog
output_dataset/train/000082.png,boat
output_dataset/train/000083.png,book
output_dataset/train/000084.png,flower
output_dataset/train/000085.png,umbrella
output_dataset/train/000086.png,cake
output_dataset/train/000087.png,violin
output_dataset/train/000088.png,tree
output_dataset/train/000089.png,boat
output_dataset/train/000090.png,banana
output_dataset/train/000091.png,star
output_dataset/train/000092.png,star
output_dataset/train/000093.png,elephant
output_dataset/train/000094.png,flower
output_dataset/train/000095.png,cake
output_dataset/train/000096.png,book
output_dataset/train/000097.png,umbrella
output_dataset/train/000098.png,violin
output_dataset/train/000099.png,elephant
output_dataset/train/000100.png,tree
output_dataset/train/000101.png,apple
output_dataset/train/000102.png,pencil
output_dataset/train/000103.png,elephant
output_dataset/train/000104.png,banana
