subtaskID,datapointID,answer
1,1,0.0
2,10001,386.699
2,10002,242.274
2,10003,478.147
2,10004,249.192
2,10005,338.424
2,10006,160.232
2,10007,396.081
2,10008,172.685
2,10009,324.236
2,10010,129.576
2,10011,241.218
2,10012,386.985
2,10013,152.929
2,10014,368.308
2,10015,346.745
2,10016,296.644
2,10017,391.518
2,10018,441.601
2,10019,478.852
2,10020,770.892
2,10021,401.942
2,10022,114.662
2,10023,295.722
2,10024,453.782
2,10025,481.944
2,10026,226.653
2,10027,415.724
2,10028,282.154
2,10029,397.406
2,10030,429.73
2,10031,366.895
2,10032,385.071
2,10033,109.469
2,10034,367.67
2,10035,196.359
2,10036,333.199
2,10037,501.695
2,10038,350.817
2,10039,377.91
2,10040,663.951
2,10041,341.03
2,10042,352.251
2,10043,218.365
2,10044,353.359
2,10045,440.054
2,10046,277.506
2,10047,505.667
2,10048,857.108
2,10049,415.22
2,10050,202.763
2,10051,566.611
2,10052,339.351
2,10053,307.028
2,10054,513.992
2,10055,432.544
2,10056,168.155
2,10057,681.986
2,10058,207.904
2,10059,550.236
2,10060,640.146
2,10061,287.208
2,10062,205.228
2,10063,243.599
2,10064,135.621
2,10065,498.725
2,10066,459.324
2,10067,116.172
2,10068,354.716
2,10069,247.809
2,10070,515.187
2,10071,294.524
2,10072,457.108
2,10073,415.747
2,10074,210.834
2,10075,113.7
2,10076,483.869
2,10077,366.205
2,10078,448.965
2,10079,281.9
2,10080,536.538
2,10081,595.543
2,10082,444.455
2,10083,463.958
2,10084,366.532
2,10085,406.88
2,10086,350.557
2,10087,411.171
2,10088,444.157
2,10089,172.245
2,10090,87.694
2,10091,416.075
2,10092,487.909
2,10093,520.3
2,10094,285.895
2,10095,308.79
2,10096,477.993
2,10097,184.087
2,10098,364.164
2,10099,329.565
2,10100,259.297
2,10101,544.492
2,10102,274.629
2,10103,184.627
2,10104,550.279
2,10105,421.053
2,10106,476.943
2,10107,378.236
2,10108,327.825
2,10109,618.613
2,10110,613.334
2,10111,495.451
2,10112,266.174
2,10113,119.272
2,10114,796.76
2,10115,219.287
2,10116,347.17
2,10117,356.581
2,10118,643.055
2,10119,150.161
2,10120,405.062
2,10121,333.564
2,10122,126.41
2,10123,507.231
2,10124,266.074
2,10125,215.794
2,10126,321.853
2,10127,337.131
2,10128,107.832
2,10129,122.194
2,10130,476.37
2,10131,573.112
2,10132,297.51
2,10133,634.754
2,10134,359.013
2,10135,182.904
2,10136,353.817
2,10137,504.219
2,10138,512.145
2,10139,147.271
2,10140,431.978
2,10141,494.191
2,10142,177.05
2,10143,482.124
2,10144,463.451
2,10145,814.994
2,10146,288.524
2,10147,453.5
2,10148,718.546
2,10149,129.793
2,10150,338.173
2,10151,370.298
2,10152,485.553
2,10153,178.576
2,10154,294.732
2,10155,788.137
2,10156,285.724
2,10157,171.615
2,10158,644.362
2,10159,434.145
2,10160,348.674
2,10161,414.773
2,10162,556.529
2,10163,385.795
2,10164,221.267
2,10165,337.206
2,10166,444.313
2,10167,86.587
2,10168,449.644
2,10169,276.954
2,10170,146.853
2,10171,300.093
2,10172,603.271
2,10173,521.225
2,10174,317.282
2,10175,437.382
2,10176,446.921
2,10177,593.336
2,10178,592.492
2,10179,370.749
2,10180,477.254
2,10181,360.592
2,10182,289.741
2,10183,325.374
2,10184,343.957
2,10185,168.76
2,10186,472.051
2,10187,217.641
2,10188,547.183
2,10189,514.588
2,10190,135.088
2,10191,237.024
2,10192,268.329
2,10193,360.738
2,10194,213.937
2,10195,677.93
2,10196,196.898
2,10197,148.2
2,10198,637.682
2,10199,318.204
2,10200,121.854
2,10201,312.597
2,10202,124.943
2,10203,578.189
2,10204,174.653
2,10205,254.583
2,10206,394.302
2,10207,342.608
2,10208,602.121
2,10209,571.835
2,10210,472.435
2,10211,173.693
2,10212,583.311
2,10213,97.232
2,10214,386.921
2,10215,219.58
2,10216,250.087
2,10217,472.97
2,10218,462.493
2,10219,503.377
