image_path,label
images/ecg_004753.png,0
images/ecg_000291.png,1
images/ecg_001008.png,0
images/ecg_003000.png,1
images/ecg_003964.png,1
images/ecg_000170.png,0
images/ecg_001814.png,1
images/ecg_001390.png,1
images/ecg_003055.png,0
images/ecg_000792.png,1
images/ecg_002836.png,1
images/ecg_001813.png,1
images/ecg_001274.png,1
images/ecg_003557.png,1
images/ecg_004367.png,1
images/ecg_004459.png,1
images/ecg_003514.png,1
images/ecg_003958.png,0
images/ecg_001476.png,0
images/ecg_003417.png,1
images/ecg_003855.png,1
images/ecg_001292.png,1
images/ecg_004702.png,0
images/ecg_000619.png,0
images/ecg_000465.png,1
images/ecg_002706.png,1
images/ecg_002579.png,1
images/ecg_003078.png,0
images/ecg_003012.png,0
images/ecg_003934.png,1
images/ecg_000988.png,0
images/ecg_003146.png,1
images/ecg_001707.png,1
images/ecg_002865.png,1
images/ecg_003494.png,0
images/ecg_000328.png,1
images/ecg_001977.png,0
images/ecg_001251.png,1
images/ecg_001332.png,0
images/ecg_003338.png,0
images/ecg_004596.png,1
images/ecg_002814.png,1
images/ecg_003085.png,1
images/ecg_001489.png,0
images/ecg_004425.png,0
images/ecg_000825.png,1
images/ecg_003217.png,0
images/ecg_000474.png,1
images/ecg_001712.png,1
images/ecg_003965.png,1
images/ecg_003671.png,0
images/ecg_002101.png,0
images/ecg_004268.png,0
images/ecg_002318.png,1
images/ecg_003448.png,0
images/ecg_003686.png,1
images/ecg_003166.png,1
images/ecg_004730.png,1
images/ecg_000679.png,1
images/ecg_004712.png,0
images/ecg_000601.png,1
images/ecg_003715.png,1
images/ecg_004801.png,1
images/ecg_004780.png,1
images/ecg_002403.png,0
images/ecg_003895.png,1
images/ecg_002440.png,0
images/ecg_003787.png,0
images/ecg_002937.png,0
images/ecg_002803.png,1
images/ecg_004603.png,0
images/ecg_002014.png,1
images/ecg_000684.png,0
images/ecg_002973.png,0
images/ecg_003486.png,0
images/ecg_003722.png,0
images/ecg_002215.png,1
images/ecg_003315.png,1
images/ecg_003597.png,0
images/ecg_002244.png,1
images/ecg_004368.png,0
images/ecg_001043.png,0
images/ecg_004758.png,1
images/ecg_001408.png,1
images/ecg_003724.png,1
images/ecg_004569.png,1
images/ecg_002992.png,0
images/ecg_001294.png,1
images/ecg_000817.png,0
images/ecg_002523.png,1
images/ecg_003319.png,0
images/ecg_002829.png,1
images/ecg_004917.png,0
images/ecg_001000.png,0
images/ecg_002892.png,1
images/ecg_000716.png,0
images/ecg_004252.png,1
images/ecg_002862.png,1
images/ecg_000849.png,0
images/ecg_004940.png,1
images/ecg_000830.png,1
images/ecg_004128.png,0
images/ecg_000282.png,0
images/ecg_002561.png,0
images/ecg_000307.png,0
images/ecg_002131.png,1
images/ecg_004530.png,0
images/ecg_000516.png,1
images/ecg_001543.png,1
images/ecg_004964.png,1
images/ecg_001670.png,1
