id,image_path,label
P00001,img_00001.jpg,queen
P00002,img_00002.jpg,rook
P00003,img_00003.jpg,rook
P00004,img_00004.jpg,bishop
P00005,img_00005.jpg,queen
P00006,img_00006.jpg,knight
P00007,img_00007.jpg,rook
P00008,img_00008.jpg,knight
P00009,img_00009.jpg,knight
P00010,img_00010.jpg,rook
P00011,img_00011.jpg,pawn
P00012,img_00012.jpg,queen
P00013,img_00013.jpg,knight
P00014,img_00014.jpg,queen
P00015,img_00015.jpg,pawn
P00016,img_00016.jpg,knight
P00017,img_00017.jpg,bishop
P00018,img_00018.jpg,bishop
P00019,img_00019.jpg,queen
P00020,img_00020.jpg,rook
P00021,img_00021.jpg,bishop
P00022,img_00022.jpg,knight
P00023,img_00023.jpg,knight
P00024,img_00024.jpg,bishop
P00025,img_00025.jpg,queen
P00026,img_00026.jpg,bishop
P00027,img_00027.jpg,knight
P00028,img_00028.jpg,rook
P00029,img_00029.jpg,pawn
P00030,img_00030.jpg,rook
P00031,img_00031.jpg,bishop
P00032,img_00032.jpg,bishop
P00033,img_00033.jpg,rook
P00034,img_00034.jpg,queen
P00035,img_00035.jpg,knight
P00036,img_00036.jpg,knight
P00037,img_00037.jpg,rook
P00038,img_00038.jpg,knight
P00039,img_00039.jpg,bishop
P00040,img_00040.jpg,knight
P00041,img_00041.jpg,bishop
P00042,img_00042.jpg,bishop
P00043,img_00043.jpg,knight
P00044,img_00044.jpg,rook
P00045,img_00045.jpg,rook
P00046,img_00046.jpg,queen
P00047,img_00047.jpg,queen
P00048,img_00048.jpg,rook
P00049,img_00049.jpg,rook
P00050,img_00050.jpg,queen
P00051,img_00051.jpg,rook
P00052,img_00052.jpg,rook
P00053,img_00053.jpg,rook
P00054,img_00054.jpg,pawn
P00055,img_00055.jpg,rook
P00056,img_00056.jpg,pawn
P00057,img_00057.jpg,rook
P00058,img_00058.jpg,pawn
P00059,img_00059.jpg,rook
P00060,img_00060.jpg,knight
P00061,img_00061.jpg,bishop
P00062,img_00062.jpg,knight
P00063,img_00063.jpg,pawn
P00064,img_00064.jpg,queen
P00065,img_00065.jpg,pawn
P00066,img_00066.jpg,rook
P00067,img_00067.jpg,bishop
P00068,img_00068.jpg,pawn
P00069,img_00069.jpg,bishop
P00070,img_00070.jpg,queen
P00071,img_00071.jpg,rook
P00072,img_00072.jpg,rook
P00073,img_00073.jpg,rook
P00074,img_00074.jpg,bishop
P00075,img_00075.jpg,rook
P00076,img_00076.jpg,bishop
P00077,img_00077.jpg,rook
P00078,img_00078.jpg,knight
P00079,img_00079.jpg,bishop
P00080,img_00080.jpg,bishop
P00081,img_00081.jpg,queen
P00082,img_00082.jpg,knight
P00083,img_00083.jpg,bishop
P00084,img_00084.jpg,knight
P00085,img_00085.jpg,knight
P00086,img_00086.jpg,bishop
P00087,img_00087.jpg,pawn
P00088,img_00088.jpg,knight
P00089,img_00089.jpg,queen
P00090,img_00090.jpg,knight
P00091,img_00091.jpg,knight
P00092,img_00092.jpg,rook
P00093,img_00093.jpg,queen
P00094,img_00094.jpg,queen
P00095,img_00095.jpg,queen
P00096,img_00096.jpg,bishop
P00097,img_00097.jpg,knight
P00098,img_00098.jpg,rook
P00099,img_00099.jpg,rook
P00100,img_00100.jpg,knight
P00101,img_00101.jpg,knight
P00102,img_00102.jpg,bishop
P00103,img_00103.jpg,queen
P00104,img_00104.jpg,knight
P00105,img_00105.jpg,queen
P00106,img_00106.jpg,queen
P00107,img_00107.jpg,rook
P00108,img_00108.jpg,knight
P00109,img_00109.jpg,rook
P00110,img_00110.jpg,bishop
P00111,img_00111.jpg,rook
P00112,img_00112.jpg,bishop
P00113,img_00113.jpg,bishop
P00114,img_00114.jpg,bishop
P00115,img_00115.jpg,rook
P00116,img_00116.jpg,bishop
P00117,img_00117.jpg,queen
P00118,img_00118.jpg,queen
P00119,img_00119.jpg,queen
P00120,img_00120.jpg,rook
P00121,img_00121.jpg,knight
P00122,img_00122.jpg,rook
P00123,img_00123.jpg,queen
P00124,img_00124.jpg,knight
P00125,img_00125.jpg,bishop
P00126,img_00126.jpg,rook
P00127,img_00127.jpg,pawn
P00128,img_00128.jpg,rook
P00129,img_00129.jpg,rook
P00130,img_00130.jpg,rook
P00131,img_00131.jpg,rook
P00132,img_00132.jpg,knight
P00133,img_00133.jpg,pawn
P00134,img_00134.jpg,knight
P00135,img_00135.jpg,queen
P00136,img_00136.jpg,queen
P00137,img_00137.jpg,bishop
P00138,img_00138.jpg,knight
P00139,img_00139.jpg,knight
P00140,img_00140.jpg,queen
P00141,img_00141.jpg,pawn
P00142,img_00142.jpg,knight
P00143,img_00143.jpg,bishop
P00144,img_00144.jpg,pawn
P00145,img_00145.jpg,rook
P00146,img_00146.jpg,knight
P00147,img_00147.jpg,bishop
P00148,img_00148.jpg,queen
P00149,img_00149.jpg,pawn
P00150,img_00150.jpg,bishop
P00151,img_00151.jpg,knight
P00152,img_00152.jpg,bishop
P00153,img_00153.jpg,rook
P00154,img_00154.jpg,knight
P00155,img_00155.jpg,queen
P00156,img_00156.jpg,queen
P00157,img_00157.jpg,bishop
P00158,img_00158.jpg,knight
P00159,img_00159.jpg,knight
P00160,img_00160.jpg,rook
P00161,img_00161.jpg,rook
P00162,img_00162.jpg,knight
P00163,img_00163.jpg,bishop
P00164,img_00164.jpg,pawn
P00165,img_00165.jpg,rook
P00166,img_00166.jpg,queen
P00167,img_00167.jpg,rook
P00168,img_00168.jpg,knight
P00169,img_00169.jpg,pawn
P00170,img_00170.jpg,knight
P00171,img_00171.jpg,rook
P00172,img_00172.jpg,pawn
P00173,img_00173.jpg,rook
P00174,img_00174.jpg,bishop
P00175,img_00175.jpg,queen
P00176,img_00176.jpg,queen
P00177,img_00177.jpg,bishop
P00178,img_00178.jpg,pawn
P00179,img_00179.jpg,bishop
P00180,img_00180.jpg,bishop
P00181,img_00181.jpg,knight
P00182,img_00182.jpg,rook
P00183,img_00183.jpg,queen
P00184,img_00184.jpg,queen
P00185,img_00185.jpg,bishop
P00186,img_00186.jpg,rook
P00187,img_00187.jpg,queen
P00188,img_00188.jpg,pawn
P00189,img_00189.jpg,bishop
P00190,img_00190.jpg,knight
P00191,img_00191.jpg,bishop
P00192,img_00192.jpg,bishop
P00193,img_00193.jpg,rook
P00194,img_00194.jpg,rook
P00195,img_00195.jpg,knight
P00196,img_00196.jpg,queen
P00197,img_00197.jpg,pawn
P00198,img_00198.jpg,rook
P00199,img_00199.jpg,knight
P00200,img_00200.jpg,knight
P00201,img_00201.jpg,queen
P00202,img_00202.jpg,bishop
P00203,img_00203.jpg,knight
P00204,img_00204.jpg,knight
P00205,img_00205.jpg,pawn
